"id","submitdate","lastpage","startlanguage","seed","datenschutz","consentInfo[yes]","on","vignetteVersionA","resourcePerson[va4]","resourcePerson[eos6]","resourcePerson[eos1]","resourcePerson[eos2]","resourcePerson[va3]","resourcePerson[eos3]","resourcePerson[eos5]","resourcePerson[va1]","resourcePerson[va2]","resourcePerson[eos4]","resourceInfra[peer1]","resourceInfra[peer2]","resourceInfra[formal1]","resourceInfra[formal2]","resourceInfra[train1]","resourceInfra[train2]","resourceInfra[incent1]","resourceInfra[incent2]","experience","introText","headerExpectations","implicates[self1]","implicates[self2]","implicates[self3]","implicates[self4]","challenge[1]","challenge[2]","challenge[3]","challenge[4]","threat[1]","threat[2]","threat[3]","infotext","engage[cognitive01]","engage[cognitive02]","engage[cognitive03]","engage[cognitive04]","engage[cognitive05]","engage[cognitive06]","engage[cognitive07]","engage[cognitive08]","engage[cognitive09]","engage[cognitive10]","gender","age","country","careerStage","engageBehavioral","downloadText","donation","interviewtime","groupTime1171","datenschutzTime","consentInfoTime","groupTime1172","onTime","groupTime1170","vignetteVersionATime","resourcePersonTime","groupTime1173","resourceInfraTime","experienceTime","groupTime1174","introTextTime","groupTime1175","headerExpectationsTime","implicatesTime","challengeTime","threatTime","groupTime1176","infotextTime","groupTime1177","engageTime","groupTime1178","genderTime","ageTime","countryTime","careerStageTime","engageBehavioralTime","groupTime1181","downloadTextTime","groupTime1180","donationTime"
"5","1980-01-01 00:00:00","11","en","1027170411","","1","","","2","3","3","2","4","3","1","2","2","2","4","6","2","2","3","2","5","4","1","","","3","3","3","3","3","3","3","3","2","2","2","","6","1","1","1","1","6","1","6","6","1","AO02","","Germany","","1","","AO01","326.87","11.28",,,"2.45",,"111.36",,,"51.71",,,"3.59",,"46.55",,,,,"7.87",,"42.76",,"25.49",,,,,,"16.36",,"7.45",
"6","1980-01-01 00:00:00","11","en","788522421","","1","","","2","5","5","5","2","5","5","2","2","1","6","6","5","4","5","3","6","5","0","","","5","5","5","5","6","6","6","6","4","5","5","","2","4","5","3","5","1","5","2","2","5","AO02","38","Germany","2","1","","AO01","2097.52","138.96",,,"20.02",,"348.85",,,"365.47",,,"55.98",,"174.35",,,,,"879.13",,"52.89",,"24.77",,,,,,"21.54",,"15.56",
"7",,"9","en","613578757","","1","","","4","4","5","6","3","5","5","3","3","1","6","6","4","3","2","2","5","5","0","","","5","5","5","6","6","5","5","6","4","2","3","","4","5","6","3","5","1","5","2","2","4","AO02","28","Germany","1","1",,,"940.41","94.22",,,"9.4",,"139.92",,,"77.84",,,"116.18",,"66.93",,,,,"218.68",,"197.27",,"19.97",,,,,,,,,
"8",,"5","en","463226376","","1","","","5","3","5","5","4","4","5","4","5","3","6","3","4","1","4","1","6","1","0","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"275.79","26.23",,,"13.86",,"152.17",,,"71.68",,,"11.85",,,,,,,,,,,,,,,,,,,,
"9",,"9","en","639887856","","1","","","2","4","5","5","2","5","5","2","2","1","6","6","3","2","2","2","5","5","3","","","5","5","5","4","2","5","1","3","1","1","1","","5","3","5","6","5","3","2","3","1","5","AO01","33","Germany","2","1",,,"303.34","7.13",,,"5.48",,"80.53",,,"43.11",,,"7.83",,"43.12",,,,,"52.52",,"39.55",,"24.07",,,,,,,,,
"10","1980-01-01 00:00:00","11","en","1915727671","","1","","","4","2","3","5","5","5","4","6","6","5","4","5","1","1","1","3","6","6","0","","","5","3","3","2","3","3","3","3","6","6","6","","6","4","2","6","5","4","5","5","6","6","AO02","29","germany","1","1","","AO01","1520.06","1123.2",,,"5.69",,"117.88",,,"48.12",,,"7.58",,"57.4",,,,,"38.64",,"72.09",,"31.94",,,,,,"10.59",,"6.93",
"11","1980-01-01 00:00:00","11","en","444279786","","1","","","1","5","5","5","2","5","6","1","2","2","4","6","2","1","3","2","5","5","2","","","2","6","4","5","6","5","4","6","2","1","3","","3","5","5","6","5","2","5","2","3","6","AO01","25","Germany","1","1","","AO01","532.3","73.19",,,"9.77",,"110.3",,,"57.66",,,"22.01",,"36.72",,,,,"142.2",,"38.47",,"20.33",,,,,,"11.21",,"10.44",
"12","1980-01-01 00:00:00","11","en","1371366060","","1","","","2","5","5","6","1","6","6","2","1","1","4","5","4","4","4","4","5","5","4","","","4","5","5","5","5","4","4","5","2","1","2","","5","5","5","6","4","4","4","2","1","5","AO01","37","Germany","1","1","","AO01","712.31","13",,,"29.03",,"194.42",,,"122.6",,,"22.8",,"60.18",,,,,"113.01",,"67.49",,"32.61",,,,,,"30.38",,"26.79",
"13","1980-01-01 00:00:00","11","en","2042195070","","1","","","4","5","5","4","2","4","5","2","2","1","6","5","4","3","3","3","5","5","2","","","4","3","3","3","4","3","2","3","4","3","4","","4","4","5","4","5","5","5","5","4","2","AO02","38","Germany","2","1","","AO01","1034.46","160.86",,,"14.9",,"225.86",,,"177.11",,,"21.93",,"75.84",,,,,"214.42",,"83.63",,"40.69",,,,,,"12.89",,"6.33",
"14","1980-01-01 00:00:00","11","en","1708035083","","1","","","2","4","5","5","2","6","5","2","2","2","4","2","4","1","2","2","3","2","1","","","6","5","4","6","6","4","2","6","1","1","1","","4","5","6","4","5","4","5","3","2","6","AO02","32","Germany","2","1","","AO03","621.87","58.59",,,"11.18",,"139.7",,,"70.46",,,"14.57",,"59.55",,,,,"148.01",,"59.74",,"30.38",,,,,,"18.88",,"10.81",
